4;1;4;4;3;2;1
6;1;2;4;1;3;1
25;1;2;3;1;1;1
33;1;2;3;3;1;1
38;1;2;3;1;4;1
42;1;2;4;3;1;1
52;1;2;3;2;3;1
55;0;3;3;1;2;1
60;1;2;2;3;4;1
61;2;2;3;2;2;1
69;1;2;4;3;4;1
70;1;2;2;1;1;1
76;1;2;4;1;3;1
93;1;2;4;1;3;1
99;1;2;2;1;3;1
102;1;2;4;1;4;1
111;1;2;4;1;3;1
112;1;2;3;1;2;1
118;1;2;3;1;1;1
133;2;2;4;1;1;1
135;0;2;3;3;1;1
136;2;2;2;1;3;1
151;2;2;3;3;1;1
155;1;2;3;3;1;1
168;1;2;3;3;2;1
181;0;4;4;1;2;1
183;2;4;4;1;2;1
187;2;4;4;4;2;1
197;1;2;2;1;1;1
198;0;2;4;1;3;1
206;1;2;2;2;1;1
214;1;2;4;1;3;1
218;2;2;4;1;4;1
224;1;2;4;1;2;1
226;0;4;3;1;4;1
232;1;3;2;3;1;1
233;1;2;4;1;1;1
240;1;4;4;1;4;1
275;1;2;3;1;3;1
284;1;2;4;1;2;1
286;1;2;3;1;2;1
291;1;3;3;3;1;1
295;1;2;3;1;1;1
296;1;2;3;3;1;1
297;2;2;3;3;1;1
310;1;4;3;4;1;1
315;1;2;4;1;2;1
318;1;2;2;3;4;1
328;0;2;2;3;1;1
334;1;3;4;3;3;1
338;1;2;3;3;4;1
340;1;4;3;1;2;1
351;1;2;3;3;4;1
354;0;2;3;2;1;1
356;1;2;3;1;4;1
361;1;3;4;1;1;1
373;1;2;2;1;3;1
375;1;2;4;1;4;1
379;1;2;3;3;1;1
383;1;3;3;3;1;1
385;1;2;4;1;3;1
388;1;2;3;1;4;1
389;2;2;3;1;2;1
396;2;2;4;3;1;1
398;1;4;4;1;2;1
407;0;2;3;1;1;1
413;1;2;4;1;2;1
417;2;2;4;1;3;1
422;1;2;3;1;1;1
426;1;2;2;1;1;1
428;1;2;3;1;4;1
444;1;2;4;2;1;1
445;1;2;4;1;2;1
454;1;2;4;3;3;1
456;1;2;4;2;1;1
459;1;2;4;1;2;1
464;1;4;2;1;3;1
472;1;1;3;1;4;1
489;0;2;4;1;2;1
505;1;3;4;1;1;1
509;1;2;3;1;1;1
514;1;3;4;3;1;1
516;1;4;3;1;1;1
518;1;2;3;3;1;1
532;1;4;4;3;2;1
543;2;4;3;1;1;1
552;1;4;4;1;2;1
559;0;2;4;3;1;1
575;1;4;4;1;4;1
576;1;2;3;1;4;1
579;1;2;3;1;1;1
582;0;2;4;1;1;1
589;2;3;3;4;2;1
590;1;2;4;1;1;1
592;1;2;3;3;2;1
606;1;3;4;3;2;1
609;1;2;3;3;1;1
612;1;3;3;2;2;1
621;1;2;4;2;4;1
628;1;2;3;2;4;1
630;0;3;4;3;4;1
634;1;2;3;1;2;1
668;0;2;3;3;3;1
671;1;4;3;1;1;1
674;0;3;2;3;2;1
675;1;4;4;1;1;1
676;1;2;2;1;1;1
678;0;2;4;1;4;1
680;1;2;4;1;4;1
692;1;2;4;3;1;1
694;1;2;3;3;3;1
705;1;2;3;2;2;1
707;1;3;3;1;2;1
723;0;4;3;1;3;1
738;1;2;3;2;1;1
743;1;2;4;1;2;1
745;1;2;2;2;3;1
746;0;3;3;3;1;1
750;1;2;4;2;4;1
751;1;2;4;3;2;1
752;1;2;3;3;2;1
757;0;2;3;3;1;1
762;1;2;3;3;2;1
767;1;2;4;1;2;1
772;1;2;4;3;4;1
775;1;4;4;3;2;1
780;1;2;3;2;2;1
781;0;2;4;3;2;1
785;1;2;4;3;1;1
792;0;2;4;3;4;1
799;1;2;4;3;4;1
812;1;2;3;1;4;1
817;1;1;2;1;4;1
